what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610073890
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610077112
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610116163
activated,editor,org.eclipse.jdt.ui,3.5.0.v20090604,"org.eclipse.jdt.ui.CompilationUnitEditor",1331610116240
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1331610178177
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610179782
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610268807
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610271291
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610273263
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.0.v200904240436,"org.eclipse.wst.xsl.debug.ui",1331610276042
executed,command,org.eclipse.ui,3.5.0.I20090604-2000,"org.eclipse.ui.edit.copy",1331610298900
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610299734
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610310008
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610338997
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610346481
deactivated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610456570
activated,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610458046
closed,workbench,org.eclipse.ui.workbench,3.5.0.I20090603-2000,"",1331610459320
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.406.v200903031852,"org.eclipse.jst.ws.axis.creation.ui",1331610476214
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.405.v200901261650,"org.eclipse.jst.ws.axis.consumption.ui",1331610476216
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.306.v200810082309,"org.eclipse.jst.ws.axis.consumption.core",1331610476219
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.103.v200807162242,"org.eclipse.jst.ws.axis2.creation.ui",1331610476221
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.102.v200807232000,"org.eclipse.jst.ws.axis2.consumption.ui",1331610476223
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.105.v200901220134,"org.eclipse.jst.ws.axis2.creation.core",1331610476225
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.104.v200810151442,"org.eclipse.jst.ws.axis2.consumption.core",1331610476226
